Date,Steps,Calories,Distance(meters),ActiveTime(seconds),DataSource
2023-01-01,93,4,68,60,Phone
2022-12-31,7504,309,5493,4380,Phone
2022-12-30,2549,123,1866,1500,Phone
2022-12-29,2363,121,1730,1320,Phone
2022-12-28,7399,306,5416,4200,Phone
2022-12-27,5623,239,4116,3240,Phone
2022-12-26,5213,233,3816,3120,Phone
2022-12-25,5590,238,4092,3060,Phone
2022-12-24,3924,166,2872,2280,Phone
2022-12-23,1567,79,1147,660,Phone
2022-12-22,2964,141,2170,1620,Phone
2022-12-21,5846,267,4279,3720,Phone
2022-12-20,4919,229,3601,2940,Phone
2022-12-19,4421,224,3236,2340,Phone
2022-12-18,4501,222,3295,2580,Phone
2022-12-17,8335,374,6101,4740,Phone
2022-12-16,5097,223,3731,3180,Phone
2022-12-15,7412,346,5426,4742,Phone
2022-12-14,5094,243,3729,2940,Phone
2022-12-13,5209,251,3813,2880,Phone
2022-12-12,5135,234,3759,3540,Phone
2022-12-11,1637,78,1198,840,Phone
2022-12-10,8595,394,6292,5400,Phone
2022-12-09,4663,223,3413,2820,Phone
2022-12-08,6605,298,4835,4260,Phone
2022-12-07,4956,220,3628,3060,Phone
2022-12-06,5375,247,3935,2820,Phone
2022-12-05,10239,441,7495,6421,Phone
2022-12-04,14292,581,10462,9180,Phone
2022-12-03,3254,160,2382,1680,Phone
2022-12-02,7400,329,5417,4440,Phone
2022-12-01,10005,433,7324,5520,Phone
2022-11-30,13293,580,9731,8580,Phone
2022-11-29,6520,284,4773,3840,Phone
2022-11-28,2394,105,1752,1560,Phone
2022-11-27,1739,81,1273,900,Phone
2022-11-26,2155,105,1577,1440,Phone
2022-11-25,18311,772,13404,10261,Phone
2022-11-24,13135,580,9615,7560,Phone
2022-11-23,16598,677,12150,10380,Phone
2022-11-22,13883,573,10162,9300,Phone
2022-11-21,9784,420,7162,6180,Phone
2022-11-20,15683,664,11480,10200,Phone
2022-11-19,13506,591,9887,8280,Phone
2022-11-18,15349,637,11236,9961,Phone
2022-11-17,12679,539,9281,8700,Phone
2022-11-16,7149,315,5233,4500,Phone
2022-11-15,10577,459,7742,6420,Phone
2022-11-14,15095,640,11050,9000,Phone
