StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2022-08-03 20:30:00,2022-08-03 20:44:59,362,11,256,300
2022-08-03 20:45:00,2022-08-03 20:59:59,501,15,355,360
2022-08-03 22:00:00,2022-08-03 22:14:59,127,6,90,120
2022-08-04 07:15:00,2022-08-04 07:29:59,176,9,124,120
2022-08-04 07:45:00,2022-08-04 07:59:59,130,8,92,60
2022-08-04 08:00:00,2022-08-04 08:14:59,182,9,129,60
2022-08-04 08:15:00,2022-08-04 08:29:59,970,37,688,600
2022-08-04 08:30:00,2022-08-04 08:44:59,639,25,453,480
2022-08-04 09:30:00,2022-08-04 09:44:59,187,9,132,180
2022-08-04 09:45:00,2022-08-04 09:59:59,287,13,203,180
2022-08-04 10:00:00,2022-08-04 10:14:59,185,8,131,120
2022-08-04 10:15:00,2022-08-04 10:29:59,103,5,73,60
2022-08-04 10:30:00,2022-08-04 10:44:59,229,12,162,60
2022-08-04 10:45:00,2022-08-04 10:59:59,330,14,234,180
2022-08-04 11:00:00,2022-08-04 11:14:59,892,37,632,720
2022-08-04 11:15:00,2022-08-04 11:29:59,513,21,363,420
2022-08-04 11:30:00,2022-08-04 11:44:59,575,23,407,480
2022-08-04 11:45:00,2022-08-04 11:59:59,487,20,345,420
2022-08-04 12:45:00,2022-08-04 12:59:59,582,26,412,240
2022-08-04 13:00:00,2022-08-04 13:14:59,655,24,464,420
2022-08-04 13:15:00,2022-08-04 13:29:59,671,26,476,480
2022-08-04 13:30:00,2022-08-04 13:44:59,425,18,301,300
2022-08-04 13:45:00,2022-08-04 13:59:59,407,17,288,300
2022-08-04 14:00:00,2022-08-04 14:14:59,452,18,320,300
2022-08-04 14:30:00,2022-08-04 14:44:59,129,8,91,60
2022-08-04 18:00:00,2022-08-04 18:14:59,102,5,72,60
2022-08-04 18:45:00,2022-08-04 18:59:59,22,1,15,60
2022-08-04 19:30:00,2022-08-04 19:44:59,1276,47,905,780
2022-08-04 19:45:00,2022-08-04 19:59:59,346,16,245,240
2022-08-04 20:00:00,2022-08-04 20:14:59,825,32,585,540
2022-08-04 20:15:00,2022-08-04 20:29:59,385,15,273,240
2022-08-04 20:30:00,2022-08-04 20:44:59,588,24,417,420
2022-08-04 21:00:00,2022-08-04 21:14:59,64,3,45,60
2022-08-05 05:00:00,2022-08-05 05:14:59,61,3,43,60
