day_date,Steps,Calories,Distance(meters),ActiveTime(seconds),active_minutes,hour_spent
2022-08-03,990,32,701,780,13.0,0.0
2022-08-04,12814,530,9077,8640,144.0,2.0
2022-08-05,7046,284,4992,4440,74.0,1.0
2022-08-06,6280,250,4450,4020,67.0,1.0
2022-08-07,7755,313,5497,5220,87.0,1.0
2022-08-08,2156,94,1525,1440,24.0,0.0
2022-08-09,3058,126,2166,2100,35.0,1.0
2022-08-10,7613,310,5391,5100,85.0,1.0
2022-08-11,4874,205,3450,3120,52.0,1.0
2022-08-12,11638,459,8243,7620,127.0,2.0
2022-08-13,14019,561,9933,9360,156.0,3.0
2022-08-14,207,10,146,120,2.0,0.0
2022-08-15,3600,141,2552,2340,39.0,1.0
2022-08-16,1179,48,833,780,13.0,0.0
2022-08-17,3632,146,2570,2700,45.0,1.0
2022-08-18,363,15,255,240,4.0,0.0
2022-08-19,2927,125,2073,1920,32.0,1.0
2022-08-20,7988,306,5659,5040,84.0,1.0
2022-08-21,7357,282,5215,4680,78.0,1.0
2022-08-22,0,0,0,0,0.0,0.0
2022-08-23,761,36,537,600,10.0,0.0
2022-08-24,4210,174,2981,3120,52.0,1.0
2022-08-25,6892,289,4879,5280,88.0,1.0
2022-08-26,7287,279,5162,4740,79.0,1.0
2022-08-27,5153,198,3650,3300,55.0,1.0
2022-08-28,111,5,78,120,2.0,0.0
2022-08-29,4955,189,3513,3360,56.0,1.0
2022-08-30,5210,207,3692,3540,59.0,1.0
2022-08-31,194,10,137,60,1.0,0.0
2022-09-01,0,0,0,0,0.0,0.0
2022-09-02,0,0,0,0,0.0,0.0
2022-09-03,5853,251,4278,3600,60.0,1.0
2022-09-04,2762,109,2018,1920,32.0,1.0
2022-09-05,7320,322,5345,4860,81.0,1.0
2022-09-06,4550,202,3324,3180,53.0,1.0
2022-09-07,5526,244,4033,3780,63.0,1.0
2022-09-08,6340,266,4633,4440,74.0,1.0
2022-09-09,5331,228,3892,3420,57.0,1.0
2022-09-10,4717,202,3445,3300,55.0,1.0
2022-09-11,1247,56,908,1020,17.0,0.0
2022-09-12,4404,185,3218,3180,53.0,1.0
2022-09-13,4766,201,3480,3240,54.0,1.0
2022-09-14,4990,213,3640,3540,59.0,1.0
2022-09-15,0,0,0,0,0.0,0.0
2022-09-16,1418,64,1035,960,16.0,0.0
2022-09-17,2055,85,1501,1380,23.0,0.0
2022-09-18,6071,240,4436,4320,72.0,1.0
2022-09-19,4494,194,3280,2940,49.0,1.0
2022-09-20,16621,669,12153,10800,180.0,3.0
2022-09-21,5794,233,4234,4022,67.0,1.0
2022-09-22,14772,589,10800,9660,161.0,3.0
2022-09-23,10861,461,7937,7440,124.0,2.0
2022-09-24,3542,150,2587,2640,44.0,1.0
2022-09-25,12405,539,9067,8520,142.0,2.0
2022-09-26,11778,490,8610,7680,128.0,2.0
2022-09-27,14055,570,10275,9420,157.0,3.0
2022-09-28,17120,693,12516,11580,193.0,3.0
2022-09-29,11675,483,8531,8160,136.0,2.0
2022-09-30,15971,719,11673,9900,165.0,3.0
2022-10-01,5182,218,3785,3540,59.0,1.0
